AppName;Path;codetrans;Migrate;MotherApp
[DEV] Correction des anomalies Comptabilité;E:/inetpub/wwwroot/web/intranet/appli/comptaAno;;0;
[DEV] Indemnisation des élus;E:/inetpub/wwwroot/web/intranet/appli/IndemnisationElus;;0;
[DEV] Indemnisation des élus (statique);E:/inetpub/wwwroot/web/intranet/appli/IndemnisationElusHtml;;0;
[DEV] Intégration des données pour COMASCOL;E:/inetpub/wwwroot/web/intranet/appli/Comascol;;0;
[DEV] Priorisation du stock des actions ISI;E:/inetpub/wwwroot/web/intranet/appli/PriorisationStock;;0;
[DEV] Suivi de la campagne de fidélisation;E:/inetpub/wwwroot/web/intranet/appli/Suivi_Campagne_Fid;;0;
Agenda des Elus;E:/inetpub/wwwroot/web/intranet/appli/AgendadesElus;Agen,Age0,Age1,Age2,Age3;0;
Alimentation du Datamart Kelio GT;E:/inetpub/wwwroot/web/intranet/appli/Rh_Applis/keliogt;;0;Rh_Applis
Annuaire des Elus;E:/inetpub/wwwroot/web/intranet/appli/annuaire_des_elus;;0;
Appel Sourire Fidélité;E:/inetpub/wwwroot/web/intranet/appli/ASC_GCM;Ascx;0;
Audiences ASR;E:/inetpub/wwwroot/web/intranet/appli/Choume;ausr;0;
Augmentations Individuelles;E:/inetpub/wwwroot/web/intranet/appli/Rh_Applis/ai;Ddai,Dda1;0;Rh_Applis
Automatisation des mises à jour HRO;E:/inetpub/wwwroot/web/intranet/appli/Rh_Applis/automatisation_maj_hro;;0;Rh_Applis
Budget Informatique;E:/inetpub/wwwroot/web/intranet/appli/budgetInformatique;bin2,binf;0;
Campagne - Certificats Mutualistes;E:/inetpub/wwwroot/web/intranet/appli/Accessoires/campagne/Certificats_Mutualistes;;0;
Carte Verte Sécurisée;E:/inetpub/wwwroot/web/intranet/appli/carte_verte_securisee;Cvsg;0;
Changement user windows;E:/inetpub/wwwroot/web/intranet/appli/UserWindows;;0;
Complément signature DocuSign;E:/inetpub/wwwroot/web/intranet/appli/DocuSign;docs;0;
Compléments données régionales Elus 3.0;E:/inetpub/wwwroot/web/intranet/appli/Mobile3-0;;0;
Comptabilité Client - Recouvrement;E:/inetpub/wwwroot/web/intranet/appli/Recouvrement;Grev,Recr;0;Comptabilité
Comptabilité Pilotage;E:/inetpub/wwwroot/web/intranet/appli/ComptaPilotage;Cp00,Cp02;0;Comptabilité
Comptabilité Puits de données;E:/inetpub/wwwroot/web/intranet/appli/comptatech;ctcm;0;Comptabilité
Constitution des Tableaux de Bord RH;E:/inetpub/wwwroot/web/intranet/appli/Rh_Applis/tdbrh;;0;Rh_Applis
Contrôle des dérogations commerciales;E:/inetpub/wwwroot/web/intranet/appli/Dero_Ctrl;;0;
Courriers aux Nouveaux Elus;E:/inetpub/wwwroot/web/intranet/appli/CourrierNouveauxElus;;0;
Courriers aux Nouveaux Sociétaires;E:/inetpub/wwwroot/web/intranet/appli/CourrierNouveauxSocietaires;;0;
Créances Douteuses;E:/inetpub/wwwroot/web/intranet/appli/ComptaClient;Gcrd,Ccrd;0;
Darva SIV;E:/inetpub/wwwroot/web/intranet/appli/Darva_SIV;dpf2,dpf3,dpf4;0;
Datamart SAP;E:/inetpub/wwwroot/web/intranet/appli/datamartSAP;;0;
DEMACART - Gestion des cartes de démarchage;E:/inetpub/wwwroot/web/intranet/appli/demacart;Dmcc,Dmcs,Dmcf,Dmcr;0;
Doc'Happy;E:/inetpub/wwwroot/web/intranet/appli/GED;Gedv;0;
Droits d'accès Intranet;E:/inetpub/wwwroot/web/intranet/appli/InfosIntra;;0;
Déclaration d'une Souffrance au Travail;E:/inetpub/wwwroot/web/intranet/appli/Rh_Applis/souffrance;souf;0;Rh_Applis
Déclaration des Heures IRP;E:/inetpub/wwwroot/web/intranet/appli/Rh_Applis/heuresmandat;Cir1;0;Rh_Applis
Echanges Bordereaux Courtiers;E:/inetpub/wwwroot/web/intranet/appli/CourtiersEchanges;Cobo;0;
Etats présidents CL;E:/inetpub/wwwroot/web/intranet/appli/Etats_Presidents;Cobo;0;
Explorateur des Répertoires FTP;E:/inetpub/wwwroot/web/intranet/appli/gestFtp;Gftp;0;
Explorateur des Répertoires Intranet;E:/inetpub/wwwroot/web/intranet/appli/GestFic;Pubu,Pubg;0;
Explorateur des Répertoires Webdoc;E:/inetpub/wwwroot/web/intranet/appli/Accessoires/explorateur2;Dac0,Dac1;0;
Extraction des contrats et taux horaires Kelio pour l'ADV;E:/inetpub/wwwroot/web/intranet/appli/Adv_Excel;;0;
Extraction des données formation LMS;E:/inetpub/wwwroot/web/intranet/appli/Rh_Applis/lms;;0;Rh_Applis
